# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
	🧖🏽;person in steamy room: medium skin tone;medium skin tone|person in steamy room|person in steamy room: medium skin tone|sauna|steam room
	🧖🏾;person in steamy room: medium-dark skin tone;medium-dark skin tone|person in steamy room|person in steamy room: medium-dark skin tone|sauna|steam room
	🧖🏿;person in steamy room: dark skin tone;dark skin tone|person in steamy room|person in steamy room: dark skin tone|sauna|steam room
🧖‍♂️;man in steamy room;man in steamy room|sauna|steam room
	🧖🏻‍♂️;man in steamy room: light skin tone;light skin tone|man in steamy room|man in steamy room: light skin tone|sauna|steam room
	🧖🏼‍♂️;man in steamy room: medium-light skin tone;man in steamy room|man in steamy room: medium-light skin tone|medium-light skin tone|sauna|steam room
	🧖🏽‍♂️;man in steamy room: medium skin tone;man in steamy room|man in steamy room: medium skin tone|medium skin tone|sauna|steam room
	🧖🏾‍♂️;man in steamy room: medium-dark skin tone;man in steamy room|man in steamy room: medium-dark skin tone|medium-dark skin tone|sauna|steam room
	🧖🏿‍♂️;man in steamy room: dark skin tone;dark skin tone|man in steamy room|man in steamy room: dark skin tone|sauna|steam room
🧖‍♀️;woman in steamy room;sauna|steam room|woman in steamy room
	🧖🏻‍♀️;woman in steamy room: light skin tone;light skin tone|sauna|steam room|woman in steamy room|woman in steamy room: light skin tone
	🧖🏼‍♀️;woman in steamy room: medium-light skin tone;medium-light skin tone|sauna|steam room|woman in steamy room|woman in steamy room: medium-light skin tone
	🧖🏽‍♀️;woman in steamy room: medium skin tone;medium skin tone|sauna|steam room|woman in steamy room|woman in steamy room: medium skin tone
	🧖🏾‍♀️;woman in steamy room: medium-dark skin tone;medium-dark skin tone|sauna|steam room|woman in steamy room|woman in steamy room: medium-dark skin tone
	🧖🏿‍♀️;woman in steamy room: dark skin tone;dark skin tone|sauna|steam room|woman in steamy room|woman in steamy room: dark skin tone
🧗;person climbing;climber|person climbing
	🧗🏻;person climbing: light skin tone;climber|light skin tone|person climbing|person climbing: light skin tone
	🧗🏼;person climbing: medium-light skin tone;climber|medium-light skin tone|person climbing|person climbing: medium-light skin tone
	🧗🏽;person climbing: medium skin tone;climber|medium skin tone|person climbing|person climbing: medium skin tone
	🧗🏾;person climbing: medium-dark skin tone;climber|medium-dark skin tone|person climbing|person climbing: medium-dark skin tone
	🧗🏿;person climbing: dark skin tone;climber|dark skin tone|person climbing|person climbing: dark skin tone
🧗‍♂️;man climbing;climber|man climbing
	🧗🏻‍♂️;man climbing: light skin tone;climber|light skin tone|man climbing|man climbing: light skin tone
	🧗🏼‍♂️;man climbing: medium-light skin tone;climber|man climbing|man climbing: medium-light skin tone|medium-light skin tone
	🧗🏽‍♂️;man climbing: medium skin tone;climber|man climbing|man climbing: medium skin tone|medium skin tone
	🧗🏾‍♂️;man climbing: medium-dark skin tone;climber|man climbing|man climbing: medium-dark skin tone|medium-dark skin tone
	🧗🏿‍♂️;man climbing: dark skin tone;climber|dark skin tone|man climbing|man climbing: dark skin tone
🧗‍♀️;woman climbing;climber|woman climbing
	🧗🏻‍♀️;woman climbing: light skin tone;climber|light skin tone|woman climbing|woman climbing: light skin tone
	🧗🏼‍♀️;woman climbing: medium-light skin tone;climber|medium-light skin tone|woman climbing|woman climbing: medium-light skin tone
	🧗🏽‍♀️;woman climbing: medium skin tone;climber|medium skin tone|woman climbing|woman climbing: medium skin tone
	🧗🏾‍♀️;woman climbing: medium-dark skin tone;climber|medium-dark skin tone|woman climbing|woman climbing: medium-dark skin tone
	🧗🏿‍♀️;woman climbing: dark skin tone;climber|dark skin tone|woman climbing|woman climbing: dark skin tone
🤺;person fencing;fencer|fencing|person fencing|sword
🏇;horse racing;horse|jockey|racehorse|racing
	🏇🏻;horse racing: light skin tone;horse|horse racing: light skin tone|jockey|light skin tone|racehorse|racing
	🏇🏼;horse racing: medium-light skin tone;horse|horse racing: medium-light skin tone|jockey|medium-light skin tone|racehorse|racing
	🏇🏽;horse racing: medium skin tone;horse|horse racing: medium skin tone|jockey|medium skin tone|racehorse|racing
	🏇🏾;horse racing: medium-dark skin tone;horse|horse racing: medium-dark skin tone|jockey|medium-dark skin tone|racehorse|racing
	🏇🏿;horse racing: dark skin tone;dark skin tone|horse|horse racing: dark skin tone|jockey|racehorse|racing
⛷️;skier;ski|skier|snow
🏂;snowboarder;ski|snow|snowboard|snowboarder
	🏂🏻;snowboarder: light skin tone;light skin tone|ski|snow|snowboard|snowboarder|snowboarder: light skin tone
	🏂🏼;snowboarder: medium-light skin tone;medium-light skin tone|ski|snow|snowboard|snowboarder|snowboarder: medium-light skin tone
	🏂🏽;snowboarder: medium skin tone;medium skin tone|ski|snow|snowboard|snowboarder|snowboarder: medium skin tone
	🏂🏾;snowboarder: medium-dark skin tone;medium-dark skin tone|ski|snow|snowboard|snowboarder|snowboarder: medium-dark skin tone
	🏂🏿;snowboarder: dark skin tone;dark skin tone|ski|snow|snowboard|snowboarder|snowboarder: dark skin tone
🏌️;person golfing;ball|golf|person golfing
	🏌🏻;person golfing: light skin tone;ball|golf|light skin tone|person golfing|person golfing: light skin tone
	🏌🏼;person golfing: medium-light skin tone;ball|golf|medium-light skin tone|person golfing|person golfing: medium-light skin tone
	🏌🏽;person golfing: medium skin tone;ball|golf|medium skin tone|person golfing|person golfing: medium skin tone
	🏌🏾;person golfing: medium-dark skin tone;ball|golf|medium-dark skin tone|person golfing|person golfing: medium-dark skin tone
	🏌🏿;person golfing: dark skin tone;ball|dark skin tone|golf|person golfing|person golfing: dark skin tone
🏌️‍♂️;man golfing;golf|man|man golfing
	🏌🏻‍♂️;man golfing: light skin tone;golf|light skin tone|man|man golfing|man golfing: light skin tone
	🏌🏼‍♂️;man golfing: medium-light skin tone;golf|man|man golfing|man golfing: medium-light skin tone|medium-light skin tone
	🏌🏽‍♂️;man golfing: medium skin tone;golf|man|man golfing|man golfing: medium skin tone|medium skin tone
	🏌🏾‍♂️;man golfing: medium-dark skin tone;golf|man|man golfing|man golfing: medium-dark skin tone|medium-dark skin tone
	🏌🏿‍♂️;man golfing: dark skin tone;dark skin tone|golf|man|man golfing|man golfing: dark skin tone
🏌️‍♀️;woman golfing;golf|woman|woman golfing
	🏌🏻‍♀️;woman golfing: light skin tone;golf|light skin tone|woman|woman golfing|woman golfing: light skin tone
	🏌🏼‍♀️;woman golfing: medium-light skin tone;golf|medium-light skin tone|woman|woman golfing|woman golfing: medium-light skin tone
	🏌🏽‍♀️;woman golfing: medium skin tone;golf|medium skin tone|woman|woman golfing|woman golfing: medium skin tone
	🏌🏾‍♀️;woman golfing: medium-dark skin tone;golf|medium-dark skin tone|woman|woman golfing|woman golfing: medium-dark skin tone
	🏌🏿‍♀️;woman golfing: dark skin tone;dark skin tone|golf|woman|woman golfing|woman golfing: dark skin tone
🏄;person surfing;person surfing|surfing
	🏄🏻;person surfing: light skin tone;light skin tone|person surfing|person surfing: light skin tone|surfing
	🏄🏼;person surfing: medium-light skin tone;medium-light skin tone|person surfing|person surfing: medium-light skin tone|surfing
	🏄🏽;person surfing: medium skin tone;medium skin tone|person surfing|person surfing: medium skin tone|surfing
	🏄🏾;person surfing: medium-dark skin tone;medium-dark skin tone|person surfing|person surfing: medium-dark skin tone|surfing
	🏄🏿;person surfing: dark skin tone;dark skin tone|person surfing|person surfing: dark skin tone|surfing
🏄‍♂️;man surfing;man|surfing
	🏄🏻‍♂️;man surfing: light skin tone;light skin tone|man|man surfing: light skin tone|surfing
	🏄🏼‍♂️;man surfing: medium-light skin tone;man|man surfing: medium-light skin tone|medium-light skin tone|surfing
	🏄🏽‍♂️;man surfing: medium skin tone;man|man surfing: medium skin tone|medium skin tone|surfing
	🏄🏾‍♂️;man surfing: medium-dark skin tone;man|man surfing: medium-dark skin tone|medium-dark skin tone|surfing
	🏄🏿‍♂️;man surfing: dark skin tone;dark skin tone|man|man surfing: dark skin tone|surfing
🏄‍♀️;woman surfing;surfing|woman
	🏄🏻‍♀️;woman surfing: light skin tone;light skin tone|surfing|woman|woman surfing: light skin tone
	🏄🏼‍♀️;woman surfing: medium-light skin tone;medium-light skin tone|surfing|woman|woman surfing: medium-light skin tone
	🏄🏽‍♀️;woman surfing: medium skin tone;medium skin tone|surfing|woman|woman surfing: medium skin tone
	🏄🏾‍♀️;woman surfing: medium-dark skin tone;medium-dark skin tone|surfing|woman|woman surfing: medium-dark skin tone
	🏄🏿‍♀️;woman surfing: dark skin tone;dark skin tone|surfing|woman|woman surfing: dark skin tone
🚣;person rowing boat;boat|person rowing boat|rowboat
	🚣🏻;person rowing boat: light skin tone;boat|light skin tone|person rowing boat|person rowing boat: light skin tone|rowboat
	🚣🏼;person rowing boat: medium-light skin tone;boat|medium-light skin tone|person rowing boat|person rowing boat: medium-light skin tone|rowboat
	🚣🏽;person rowing boat: medium skin tone;boat|medium skin tone|person rowing boat|person rowing boat: medium skin tone|rowboat
	🚣🏾;person rowing boat: medium-dark skin tone;boat|medium-dark skin tone|person rowing boat|person rowing boat: medium-dark skin tone|rowboat
	🚣🏿;person rowing boat: dark skin tone;boat|dark skin tone|person rowing boat|person rowing boat: dark skin tone|rowboat
🚣‍♂️;man rowing boat;boat|man|man rowing boat|rowboat
	🚣🏻‍♂️;man rowing boat: light skin tone;boat|light skin tone|man|man rowing boat|man rowing boat: light skin tone|rowboat
	🚣🏼‍♂️;man rowing boat: medium-light skin tone;boat|man|man rowing boat|man rowing boat: medium-light skin tone|medium-light skin tone|rowboat
	🚣🏽‍♂️;man rowing boat: medium skin tone;boat|man|man rowing boat|man rowing boat: medium skin tone|medium skin tone|rowboat
	🚣🏾‍♂️;man rowing boat: medium-dark skin tone;boat|man|man rowing boat|man rowing boat: medium-dark skin tone|medium-dark skin tone|rowboat
	🚣🏿‍♂️;man rowing boat: dark skin tone;boat|dark skin tone|man|man rowing boat|man rowing boat: dark skin tone|rowboat
🚣‍♀️;woman rowing boat;boat|rowboat|woman|woman rowing boat
	🚣🏻‍♀️;woman rowing boat: light skin tone;boat|light skin tone|rowboat|woman|woman rowing boat|woman rowing boat: light skin tone
	🚣🏼‍♀️;woman rowing boat: medium-light skin tone;boat|medium-light skin tone|rowboat|woman|woman rowing boat|woman rowing boat: medium-light skin tone
	🚣🏽‍♀️;woman rowing boat: medium skin tone;boat|medium skin tone|rowboat|woman|woman rowing boat|woman rowing boat: medium skin tone
