# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
	🧑🏻‍🤝‍🧑🏾;sich an den Händen haltende Personen: helle Hautfarbe, mitteldunkle Hautfarbe;Hände|Hände halten|helle Hautfarbe|mitteldunkle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: helle Hautfarbe, mitteldunkle Hautfarbe
	🧑🏻‍🤝‍🧑🏿;sich an den Händen haltende Personen: helle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|helle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: helle Hautfarbe, dunkle Hautfarbe
	🧑🏼‍🤝‍🧑🏻;sich an den Händen haltende Personen: mittelhelle Hautfarbe, helle Hautfarbe;Hände|Hände halten|helle Hautfarbe|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittelhelle Hautfarbe, helle Hautfarbe
	🧑🏼‍🤝‍🧑🏼;sich an den Händen haltende Personen: mittelhelle Hautfarbe;Hände|Hände halten|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittelhelle Hautfarbe
	🧑🏼‍🤝‍🧑🏽;sich an den Händen haltende Personen: mittelhelle Hautfarbe, mittlere Hautfarbe;Hände|Hände halten|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittelhelle Hautfarbe, mittlere Hautfarbe
	🧑🏼‍🤝‍🧑🏾;sich an den Händen haltende Personen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe;Hände|Hände halten|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe
	🧑🏼‍🤝‍🧑🏿;sich an den Händen haltende Personen: mittelhelle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittelhelle Hautfarbe, dunkle Hautfarbe
	🧑🏽‍🤝‍🧑🏻;sich an den Händen haltende Personen: mittlere Hautfarbe, helle Hautfarbe;Hände|Hände halten|helle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittlere Hautfarbe, helle Hautfarbe
	🧑🏽‍🤝‍🧑🏼;sich an den Händen haltende Personen: mittlere Hautfarbe, mittelhelle Hautfarbe;Hände|Hände halten|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittlere Hautfarbe, mittelhelle Hautfarbe
	🧑🏽‍🤝‍🧑🏽;sich an den Händen haltende Personen: mittlere Hautfarbe;Hände|Hände halten|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittlere Hautfarbe
	🧑🏽‍🤝‍🧑🏾;sich an den Händen haltende Personen: mittlere Hautfarbe, mitteldunkle Hautfarbe;Hände|Hände halten|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittlere Hautfarbe, mitteldunkle Hautfarbe
	🧑🏽‍🤝‍🧑🏿;sich an den Händen haltende Personen: mittlere Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mittlere Hautfarbe, dunkle Hautfarbe
	🧑🏾‍🤝‍🧑🏻;sich an den Händen haltende Personen: mitteldunkle Hautfarbe, helle Hautfarbe;Hände|Hände halten|helle Hautfarbe|mitteldunkle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mitteldunkle Hautfarbe, helle Hautfarbe
	🧑🏾‍🤝‍🧑🏼;sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe;Hände|Hände halten|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe
	🧑🏾‍🤝‍🧑🏽;sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittlere Hautfarbe;Hände|Hände halten|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittlere Hautfarbe
	🧑🏾‍🤝‍🧑🏾;sich an den Händen haltende Personen: mitteldunkle Hautfarbe;Hände|Hände halten|mitteldunkle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mitteldunkle Hautfarbe
	🧑🏾‍🤝‍🧑🏿;sich an den Händen haltende Personen: mitteldunkle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mitteldunkle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: mitteldunkle Hautfarbe, dunkle Hautfarbe
	🧑🏿‍🤝‍🧑🏻;sich an den Händen haltende Personen: dunkle Hautfarbe, helle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|helle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: dunkle Hautfarbe, helle Hautfarbe
	🧑🏿‍🤝‍🧑🏼;sich an den Händen haltende Personen: dunkle Hautfarbe, mittelhelle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: dunkle Hautfarbe, mittelhelle Hautfarbe
	🧑🏿‍🤝‍🧑🏽;sich an den Händen haltende Personen: dunkle Hautfarbe, mittlere Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: dunkle Hautfarbe, mittlere Hautfarbe
	🧑🏿‍🤝‍🧑🏾;sich an den Händen haltende Personen: dunkle Hautfarbe, mitteldunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|mitteldunkle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: dunkle Hautfarbe, mitteldunkle Hautfarbe
	🧑🏿‍🤝‍🧑🏿;sich an den Händen haltende Personen: dunkle Hautfarbe;dunkle Hautfarbe|Hände|Hände halten|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: dunkle Hautfarbe
👭;Händchen haltende Frauen;Frauen|Händchen halten|Händchen haltende Frauen|Paar|Pärchen aus Frau und Frau
	👭🏻;Händchen haltende Frauen: helle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: helle Hautfarbe|helle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏻‍🤝‍👩🏼;Händchen haltende Frauen: helle Hautfarbe, mittelhelle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: helle Hautfarbe, mittelhelle Hautfarbe|helle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏻‍🤝‍👩🏽;Händchen haltende Frauen: helle Hautfarbe, mittlere Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: helle Hautfarbe, mittlere Hautfarbe|helle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏻‍🤝‍👩🏾;Händchen haltende Frauen: helle Hautfarbe, mitteldunkle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: helle Hautfarbe, mitteldunkle Hautfarbe|helle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏻‍🤝‍👩🏿;Händchen haltende Frauen: helle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: helle Hautfarbe, dunkle Hautfarbe|helle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏼‍🤝‍👩🏻;Händchen haltende Frauen: mittelhelle Hautfarbe, helle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittelhelle Hautfarbe, helle Hautfarbe|helle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👭🏼;Händchen haltende Frauen: mittelhelle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏼‍🤝‍👩🏽;Händchen haltende Frauen: mittelhelle Hautfarbe, mittlere Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittelhelle Hautfarbe, mittlere Hautfarbe|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏼‍🤝‍👩🏾;Händchen haltende Frauen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏼‍🤝‍👩🏿;Händchen haltende Frauen: mittelhelle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittelhelle Hautfarbe, dunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏽‍🤝‍👩🏻;Händchen haltende Frauen: mittlere Hautfarbe, helle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittlere Hautfarbe, helle Hautfarbe|helle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏽‍🤝‍👩🏼;Händchen haltende Frauen: mittlere Hautfarbe, mittelhelle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittlere Hautfarbe, mittelhelle Hautfarbe|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👭🏽;Händchen haltende Frauen: mittlere Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittlere Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏽‍🤝‍👩🏾;Händchen haltende Frauen: mittlere Hautfarbe, mitteldunkle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittlere Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏽‍🤝‍👩🏿;Händchen haltende Frauen: mittlere Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mittlere Hautfarbe, dunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏾‍🤝‍👩🏻;Händchen haltende Frauen: mitteldunkle Hautfarbe, helle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mitteldunkle Hautfarbe, helle Hautfarbe|helle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏾‍🤝‍👩🏼;Händchen haltende Frauen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏾‍🤝‍👩🏽;Händchen haltende Frauen: mitteldunkle Hautfarbe, mittlere Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mitteldunkle Hautfarbe, mittlere Hautfarbe|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👭🏾;Händchen haltende Frauen: mitteldunkle Hautfarbe;Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏾‍🤝‍👩🏿;Händchen haltende Frauen: mitteldunkle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: mitteldunkle Hautfarbe, dunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏿‍🤝‍👩🏻;Händchen haltende Frauen: dunkle Hautfarbe, helle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: dunkle Hautfarbe, helle Hautfarbe|helle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏿‍🤝‍👩🏼;Händchen haltende Frauen: dunkle Hautfarbe, mittelhelle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: dunkle Hautfarbe, mittelhelle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏿‍🤝‍👩🏽;Händchen haltende Frauen: dunkle Hautfarbe, mittlere Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: dunkle Hautfarbe, mittlere Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Frau
	👩🏿‍🤝‍👩🏾;Händchen haltende Frauen: dunkle Hautfarbe, mitteldunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: dunkle Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
	👭🏿;Händchen haltende Frauen: dunkle Hautfarbe;dunkle Hautfarbe|Frauen|Händchen halten|Händchen haltende Frauen|Händchen haltende Frauen: dunkle Hautfarbe|Paar|Pärchen aus Frau und Frau
👫;Mann und Frau halten Hände;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Paar|Pärchen aus Frau und Mann
	👫🏻;Mann und Frau halten Hände: helle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: helle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏻‍🤝‍👨🏼;Mann und Frau halten Hände: helle Hautfarbe, mittelhelle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: helle Hautfarbe, mittelhelle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏻‍🤝‍👨🏽;Mann und Frau halten Hände: helle Hautfarbe, mittlere Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: helle Hautfarbe, mittlere Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏻‍🤝‍👨🏾;Mann und Frau halten Hände: helle Hautfarbe, mitteldunkle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: helle Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏻‍🤝‍👨🏿;Mann und Frau halten Hände: helle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: helle Hautfarbe, dunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏼‍🤝‍👨🏻;Mann und Frau halten Hände: mittelhelle Hautfarbe, helle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittelhelle Hautfarbe, helle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👫🏼;Mann und Frau halten Hände: mittelhelle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏼‍🤝‍👨🏽;Mann und Frau halten Hände: mittelhelle Hautfarbe, mittlere Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittelhelle Hautfarbe, mittlere Hautfarbe|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏼‍🤝‍👨🏾;Mann und Frau halten Hände: mittelhelle Hautfarbe, mitteldunkle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittelhelle Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏼‍🤝‍👨🏿;Mann und Frau halten Hände: mittelhelle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittelhelle Hautfarbe, dunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏽‍🤝‍👨🏻;Mann und Frau halten Hände: mittlere Hautfarbe, helle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittlere Hautfarbe, helle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏽‍🤝‍👨🏼;Mann und Frau halten Hände: mittlere Hautfarbe, mittelhelle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittlere Hautfarbe, mittelhelle Hautfarbe|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👫🏽;Mann und Frau halten Hände: mittlere Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittlere Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏽‍🤝‍👨🏾;Mann und Frau halten Hände: mittlere Hautfarbe, mitteldunkle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittlere Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏽‍🤝‍👨🏿;Mann und Frau halten Hände: mittlere Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mittlere Hautfarbe, dunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏾‍🤝‍👨🏻;Mann und Frau halten Hände: mitteldunkle Hautfarbe, helle Hautfarbe;Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mitteldunkle Hautfarbe, helle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏾‍🤝‍👨🏼;Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittelhelle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittelhelle Hautfarbe|mitteldunkle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏾‍🤝‍👨🏽;Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittlere Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittlere Hautfarbe|mitteldunkle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👫🏾;Mann und Frau halten Hände: mitteldunkle Hautfarbe;Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏾‍🤝‍👨🏿;Mann und Frau halten Hände: mitteldunkle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: mitteldunkle Hautfarbe, dunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏿‍🤝‍👨🏻;Mann und Frau halten Hände: dunkle Hautfarbe, helle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|helle Hautfarbe|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: dunkle Hautfarbe, helle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏿‍🤝‍👨🏼;Mann und Frau halten Hände: dunkle Hautfarbe, mittelhelle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: dunkle Hautfarbe, mittelhelle Hautfarbe|mittelhelle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏿‍🤝‍👨🏽;Mann und Frau halten Hände: dunkle Hautfarbe, mittlere Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: dunkle Hautfarbe, mittlere Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Frau und Mann
	👩🏿‍🤝‍👨🏾;Mann und Frau halten Hände: dunkle Hautfarbe, mitteldunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: dunkle Hautfarbe, mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
	👫🏿;Mann und Frau halten Hände: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Händchen halten|Mann|Mann und Frau halten Hände|Mann und Frau halten Hände: dunkle Hautfarbe|Paar|Pärchen aus Frau und Mann
👬;Händchen haltende Männer;Händchen halten|Händchen haltende Männer|Männer|Paar|Pärchen aus Mann und Mann
	👬🏻;Händchen haltende Männer: helle Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: helle Hautfarbe|helle Hautfarbe|Männer|Paar|Pärchen aus Mann und Mann
	👨🏻‍🤝‍👨🏼;Händchen haltende Männer: helle Hautfarbe, mittelhelle Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: helle Hautfarbe, mittelhelle Hautfarbe|helle Hautfarbe|Männer|mittelhelle Hautfarbe|Paar|Pärchen aus Mann und Mann
	👨🏻‍🤝‍👨🏽;Händchen haltende Männer: helle Hautfarbe, mittlere Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: helle Hautfarbe, mittlere Hautfarbe|helle Hautfarbe|Männer|mittlere Hautfarbe|Paar|Pärchen aus Mann und Mann
	👨🏻‍🤝‍👨🏾;Händchen haltende Männer: helle Hautfarbe, mitteldunkle Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: helle Hautfarbe, mitteldunkle Hautfarbe|helle Hautfarbe|Männer|mitteldunkle Hautfarbe|Paar|Pärchen aus Mann und Mann
	👨🏻‍🤝‍👨🏿;Händchen haltende Männer: helle Hautfarbe, dunkle Hautfarbe;dunkle Hautfarbe|Händchen halten|Händchen haltende Männer|Händchen haltende Männer: helle Hautfarbe, dunkle Hautfarbe|helle Hautfarbe|Männer|Paar|Pärchen aus Mann und Mann
	👨🏼‍🤝‍👨🏻;Händchen haltende Männer: mittelhelle Hautfarbe, helle Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: mittelhelle Hautfarbe, helle Hautfarbe|helle Hautfarbe|Männer|mittelhelle Hautfarbe|Paar|Pärchen aus Mann und Mann
	👬🏼;Händchen haltende Männer: mittelhelle Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: mittelhelle Hautfarbe|Männer|mittelhelle Hautfarbe|Paar|Pärchen aus Mann und Mann
	👨🏼‍🤝‍👨🏽;Händchen haltende Männer: mittelhelle Hautfarbe, mittlere Hautfarbe;Händchen halten|Händchen haltende Männer|Händchen haltende Männer: mittelhelle Hautfarbe, mittlere Hautfarbe|Männer|mittelhelle Hautfarbe|mittlere Hautfarbe|Paar|Pärchen aus Mann und Mann
